property,r2_val,r2_test,alpha
MolWt,0.9184367082851829,0.9190326762937123,0.31622776601683794
ExactMolWt,0.9190205949486866,0.9196501516141578,0.31622776601683794
HeavyAtomCount,0.9624234085076716,0.9622093320530075,1.0
cLogP,0.6836257275920429,0.6823806518549012,10.0
TPSA,0.6980644175589721,0.7007663198390472,316.22776601683796
HBD,0.2553599972793893,0.26274691623808455,10.0
HBA,0.7578640984919627,0.7602155629413717,1.0
NumRotatableBonds,0.4879104646867747,0.48208946350958326,3.1622776601683795
RingCount,0.8504635991039834,0.8494791791440223,0.31622776601683794
AromaticRingCount,0.8501589612406022,0.850289245097216,1.0
FractionCSP3,0.7843740339777757,0.7861915772042835,1.0
NumSpiroAtoms,0.05216207189080202,0.051280046832509085,3.1622776601683795
NumBridgeheadAtoms,0.0737561816003578,0.08162583537138424,3.1622776601683795
BertzCT,0.9307783249144547,0.9302699658744238,3.1622776601683795
QED,0.3479931816412616,0.34551149983455076,10.0
